ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,ma_qfq_5,ma_qfq_10,ma_qfq_20,ma_qfq_30,ma_qfq_60,ma_qfq_90,ma_qfq_250
000001.SZ,20250102,11.73,11.77,11.39,11.43,11.7,-0.27,-2.3077,1819596.99,2102923.078,0.054,0.072,-0.036,41.489,55.456,13.556,29.327,40.673,48.121,11.994,11.697,11.4,11.754,11.749,11.697,11.59033,11.645,11.15591,10.11843
000001.SZ,20250103,11.44,11.54,11.36,11.38,11.43,-0.05,-0.4374,1154680.44,1320520.978,0.023,0.062,-0.077,28.67,46.527,-7.045,27.326,39.149,47.262,12.002,11.694,11.386,11.658,11.728,11.694,11.58333,11.635,11.16992,10.13044
000001.SZ,20250106,11.38,11.48,11.22,11.44,11.38,0.06,0.5272,1085536.3,1234305.778,0.004,0.05,-0.093,28.28,40.445,3.95,33.828,41.995,48.416,12.01,11.683,11.356,11.58,11.71,11.683,11.58867,11.63033,11.1845,10.14259
000001.SZ,20250107,11.42,11.53,11.37,11.51,11.44,0.07,0.6119,747862.88,858329.049,-0.005,0.039,-0.089,30.937,37.275,18.259,41.194,45.253,49.753,12.011,11.675,11.339,11.492,11.688,11.675,11.59967,11.62183,11.19952,10.15506
000001.SZ,20250108,11.5,11.63,11.4,11.5,11.51,-0.01,-0.0869,1062386.01,1223598.997,-0.014,0.029,-0.085,32.746,35.765,26.706,40.423,44.86,49.562,12.0,11.66,11.321,11.452,11.652,11.6605,11.60733,11.61517,11.21345,10.16781
000001.SZ,20250109,11.5,11.5,11.35,11.4,11.5,-0.1,-0.8696,751483.3,857836.086,-0.028,0.017,-0.091,29.623,33.718,21.432,33.006,40.981,47.647,12.0,11.644,11.288,11.446,11.6,11.644,11.60767,11.60417,11.22606,10.18009
000001.SZ,20250110,11.4,11.46,11.28,11.3,11.4,-0.1,-0.8772,798133.51,905005.041,-0.047,0.005,-0.103,23.212,30.216,9.203,27.05,37.448,45.801,11.99,11.616,11.243,11.43,11.544,11.6165,11.60633,11.59333,11.23821,10.19077
000001.SZ,20250113,11.25,11.26,11.08,11.2,11.3,-0.1,-0.885,934966.18,1044904.416,-0.069,-0.01,-0.118,19.87,26.767,6.076,22.236,34.229,44.021,12.013,11.598,11.184,11.382,11.481,11.5985,11.60033,11.57933,11.25033,10.20126
000001.SZ,20250114,11.2,11.4,11.19,11.38,11.2,0.18,1.6071,824628.95,934467.766,-0.071,-0.022,-0.098,27.739,27.091,29.036,43.831,43.727,47.829,12.014,11.589,11.164,11.356,11.424,11.589,11.6,11.57217,11.26663,10.21313
000001.SZ,20250115,11.38,11.58,11.36,11.48,11.38,0.1,0.8787,1031630.82,1185403.653,-0.064,-0.031,-0.067,42.735,32.306,63.594,52.605,48.256,49.808,12.014,11.586,11.159,11.352,11.402,11.5865,11.59967,11.567,11.28371,10.22544
